https://en.wikipedia.org/wiki/Exaltasamba|Exaltasamba|São Bernardo do Campo|Brazil |               = Pagode

https://en.wikipedia.org/wiki/Michael_Jackson|Michael Joseph Jackson|Gary|U.S.|           = <!--These music genres are all sourced under the section #Musical themes and genres-->hlist
https://en.wikipedia.org/wiki/Pitty|Pitty|NULL||Alternative metal
https://en.wikipedia.org/wiki/Pearl_Jam|Pearl Jam|Seattle|U.S.|Alternative rock
https://en.wikipedia.org/wiki/Flume_(musician)|Flume|Sydney|Australia|Electronica
https://en.wikipedia.org/wiki/Nick_Murphy_(musician)|Nick Murphy |Melbourne|Australia|     Electronica
https://en.wikipedia.org/wiki/Ludwig_van_Beethoven|Ludwig van Beethoven |NULL|ULL| Bonn

https://en.wikipedia.org/wiki/Antonio_Vivaldi||NULL||
https://en.wikipedia.org/wiki/Johann_Sebastian_Bach|Johann Sebastian Bach|NULL|ULL| Eisenach

https://en.wikipedia.org/wiki/Pyotr_Ilyich_Tchaikovsky||NULL||
https://en.wikipedia.org/wiki/Edvard_Grieg|Edvard Grieg|Bergen|Norway|Bergen, Norway

https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart||NULL||
https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Chopin||NULL||
https://en.wikipedia.org/wiki/Drake_(musician)|Drake|Toronto|Canada|Hip hop music
https://en.wikipedia.org/wiki/Donald_Glover|Donald Glover|Edwards Air Force Base|U.S.|Observational comedy
https://en.wikipedia.org/wiki/Eminem|Eminem|St. Joseph|U.S.|        = Hip hop music
https://en.wikipedia.org/wiki/Glass_Animals|Glass Animals|Oxford|England|Indie rock
https://en.wikipedia.org/wiki/Kaleo_(band)|Kaleo|Mosfellsbær|Iceland|           = Flat list
https://en.wikipedia.org/wiki/Mumford_%26_Sons|Mumford & Sons|London|United Kingdom |              Folk rock
https://en.wikipedia.org/wiki/Red_Hot_Chili_Peppers|Red Hot Chili Peppers|Los Angeles|U.S.|Funk rock
https://en.wikipedia.org/wiki/Muse_(band)|Muse|Los Angeles|ULL|Alternative rock
https://en.wikipedia.org/wiki/The_Black_Keys|The Black Keys|Akron|U.S.|Garage rock <!-- please don't add any unsourced genres -->
https://en.wikipedia.org/wiki/Iron_Maiden|Iron Maiden|Akron|ULL|= Heavy metal music
https://en.wikipedia.org/wiki/Queen_(band)|Queen|London|England| = Rock music
https://en.wikipedia.org/wiki/Black_Sabbath|Black Sabbath|Aston|England| = Heavy metal music
https://en.wikipedia.org/wiki/Avenged_Sevenfold|Avenged Sevenfold|Huntington Beach|U.S.|Heavy metal music
https://en.wikipedia.org/wiki/The_Protomen|The Protomen|Huntington Beach|ULL|Rock opera
https://en.wikipedia.org/wiki/Avril_Lavigne|Avril Lavigne|Belleville|Canada|Pop punk
https://en.wikipedia.org/wiki/Paramore|Paramore|Franklin|U.S.|Alternative rock
https://en.wikipedia.org/wiki/Fall_Out_Boy|Fall Out Boy|Wilmette|U.S.|Pop punk
https://en.wikipedia.org/wiki/Streetlight_Manifesto|Streetlight Manifesto|New Brunswick|United States|            = Punk rock, Ska Punk

https://en.wikipedia.org/wiki/Dinosaur_Jr.|Dinosaur Jr.|Amherst|U.S.|Alternative rock
https://en.wikipedia.org/wiki/Gorillaz|Gorillaz|Essex|England|Alternative rock
https://en.wikipedia.org/wiki/Infected_Mushroom|Infected Mushroom|Kiryat Yam|Israel|              = Psychedelic trance, electro house, electronica, electronic rock, glitch hop, Industrial music
https://en.wikipedia.org/wiki/Lorde|Lorde|Takapuna|New Zealand|           = <!-- Sourced in #Musical style. Please do not add or remove genres without discussion or reliable sources -->hlist
https://en.wikipedia.org/wiki/Novos_Baianos|Novos Baianos|Salvador|Brazil|               = Psychedelic rock, samba rock, tropicália, Música popular brasileira
https://en.wikipedia.org/wiki/Capital_Inicial|Capital Inicial|Brasília|Brazil|               = Brazilian rock, alternative rock, post-punk, punk rock

https://en.wikipedia.org/wiki/Legi%C3%A3o_Urbana|Legião Urbana|Brasília|Brazil|              Post-punk
https://en.wikipedia.org/wiki/Kasabian|Kasabian|Leicester|England|Indie rock<ref>{{cite news
https://en.wikipedia.org/wiki/Alt-J|alt-J|Leeds|United Kingdom|Experimental rock
https://en.wikipedia.org/wiki/Arcade_Fire|Arcade Fire|Montreal|Montreal|Canada|           = <!--- Do not add unsourced genres -->hlist
https://en.wikipedia.org/wiki/Daft_Punk|Daft Punk|Paris|France|          French house<ref name="nytimes.com">cite news
https://en.wikipedia.org/wiki/Banda_U%C3%B3|Banda Uó|Goiânia|Brazil| = Pop music
https://en.wikipedia.org/wiki/Justice_(band)|Justice|Paris|France|          French house
https://en.wikipedia.org/wiki/Mystery_Skulls|Mystery Skulls|Dallas|United States|               = Electronica, indie pop, Minneapolis sound, electronic rock, Soul music
https://en.wikipedia.org/wiki/Neutral_Milk_Hotel|Neutral Milk Hotel|Dallas|ULL|Indie rock
https://en.wikipedia.org/wiki/Nujabes|Nujabes|NULL|Nujabes|            = Japanese hip hop
https://en.wikipedia.org/wiki/Panic!_at_the_Disco|Panic! at the Disco|Las Vegas|Las Vegas|U.S.|Pop rock
https://en.wikipedia.org/wiki/My_Chemical_Romance|My Chemical Romance|Newark|U.S.|Alternative rock
https://en.wikipedia.org/wiki/Nicole_Dollanganger|Nicole Dollanganger|NULL|Nicole Dollanganger|        Sadcore
